head,head_type,rel,tail,tail_type,position,time_text,source
毛泽东,Person,AUTHORED,经济问题和财政问题,Document,,1939年2月2日,https://www.dswxyjy.org.cn/GB/434461/434463/434790/index.html
全国统一战线工作会议在北京召开,Event,OCCURRED_IN,北京,Location,,1991年2月2日至6日,https://www.dswxyjy.org.cn/GB/434461/434463/434790/index.html
西部大开发五周年座谈会在北京举行,Event,OCCURRED_IN,北京,Location,,2005年2月4日,https://www.dswxyjy.org.cn/GB/434461/434463/434792/index.html
毛泽东,Person,AUTHORED,反对投降主义,Document,,1939年2月5日,https://www.dswxyjy.org.cn/GB/434461/434463/434793/index.html
第五届全国人大常委会第十三次会议在北京召开,Event,OCCURRED_IN,北京,Location,,1980年2月5日-12日,https://www.dswxyjy.org.cn/GB/434461/434463/434793/index.html
毛泽东在江西吉安陂头村主持召开中共红四军前委、赣西特委和红军第五军、第六军军委联席会议,Event,OCCURRED_IN,江西,Location,,1930年2月6日—9日,https://www.dswxyjy.org.cn/GB/434461/434463/434794/index.html
中国共产党第十八届中央委员会第三次全体会议,Meeting,PRODUCED,中共中央关于全面深化改革若干重大问题的决定,Document,,2014年2月7日,https://www.dswxyjy.org.cn/GB/434461/434463/434795/index.html
毛泽东,Person,AUTHORED,中央关于反对敌人五次“围剿”的总结的决议,Document,,1935年2月8日,https://www.dswxyjy.org.cn/GB/434461/434463/434796/index.html
八路军政治部在山西省武乡县驻地召开太行文艺座谈会，朱德在会上讲话,Event,OCCURRED_IN,山西省,Location,,1940年2月8日,https://www.dswxyjy.org.cn/GB/434461/434463/434796/index.html
毛泽东,Person,AUTHORED,反对党八股,Document,,1942年2月8日,https://www.dswxyjy.org.cn/GB/434461/434463/434796/index.html
李先念,Person,AUTHORED,关于当前经济问题,Document,,1980年2月10日,https://www.dswxyjy.org.cn/GB/434461/434463/434798/index.html
中国共产党第十一届中央委员会第六次全体会议,Meeting,PRODUCED,关于建国以来党的若干历史问题的决议,Document,,1982年2月12日,https://www.dswxyjy.org.cn/GB/434461/434463/434800/index.html
中央工作会议在北京召开,Event,OCCURRED_IN,北京,Location,,2001年2月12日至14日,https://www.dswxyjy.org.cn/GB/434461/434463/434800/index.html
邓小平,Person,AUTHORED,动员新兵及新兵政治工作,Document,,1938年2月12日,https://www.dswxyjy.org.cn/GB/434461/434463/434800/index.html
香港特别行政区基本法起草委员会第九次会议在北京举行,Event,OCCURRED_IN,北京,Location,,1990年2月13日-17日,https://www.dswxyjy.org.cn/GB/434461/434463/434801/index.html
毛泽东,Person,AUTHORED,四分五裂的反动派为什么还要空喊“全面和平”？,Document,,1949年2月15日,https://www.dswxyjy.org.cn/GB/434461/434463/434803/index.html
